ID	text	SDG
1	The aim is to assess and minimise the negative impact of sport activities on mountain environments and leverage the	13
2	Building Research Establishment Environmental Assessment Method Assessment method to establish the sustainability performance of buildings	9
3	Our carbon footprint is calculated in accordance with the WRI/WBCSD GHG Protocol Corporate Standard, using  an operational control approach to determine organisational boundaries	13
4	However, with growing pressures on ecosystems, forests also need to adjust to changing conditions	15
5	UNESCO has established five Partner Networks, each corresponding to the five priority areas, as one of its main implementation mechanisms of GAP.	4
6	Proportion of population covered by a mobile network, by technology.	9
7	The Commission agreed on the need to further diversify energy supply by developing advanced, cleaner, more efficient, affordable and cost-effective energy technologies.	7
8	for the International Women’s Rights Day, the Company encouraged the sharing of best practices of various countries regarding gender equality	5
9	Supporting institutional development, capacity building and implementation of government agricultural development policies to increase the participation of rural people, ensure fair payment and distribution of benefits and inclusion of the green value chain.	2
10	Working as part of the global Food and Land Use Coalition, the team contributed to the identification of the ten critical transitions that are necessary to make the way we use land and produce food more sustainable.	2
11	Supplier Guiding Principles of operating with integrity, we have guidelines approved at Board level sefling out expectations and requirements of our suppliers in relation to expected conduct, for example, in relation to human rights, health and safety and other mufflers	3
12	HP Grants Support Program In 2021, the HP Grants Support Program provided educational institutions and nonprofits with free access to quality grants research and consulting, in collaboration with Grants Office LLC and with funding support from AMD, Intel, and Microsoft	4
13	Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed.	17
14	Since the time spent on unwrapping raw materials from plastic can be allocated as waste, it has no added value.	14
15	More than three quarters, 1.6 billion informal workers, were significantly affected by the pandemic-related lockdown measures or were working in the sectors hardest hit.	8
16	At least 200 million girls and women have been subjected to female genital mutilation, according to recent data from the 31 countries where the practice is concentrated.	5
17	13 How mountains of waste will permanently change vehicle production For six years, the team at the startup company UBQ Materials worked on a new raw material, with the aim of producing a homogeneous renewable material from food and garden waste, diapers paper, and packaging	12
18	Completion rate .	4
19	Access to drinking water and sanitation is therefore a core indicator for most household surveys. Currently JMP database holds around 1600 such surveys and for over 140 countries, at least five data points are available which include information about basic water and sanitation for the period 1990-2015. In high-income countries where household surveys or censuses do not usually collect information on basic access, estimates are drawn from administrative records. 	6
20	Partially achieved Certification ISO 20121 to be sought by the end of 2022 Will remain a continual commitment Overall summary, 2017fi2020/ Progress update since November 2019 IOC sustainability objectives for 2017 fi2020 Final statusContents14IOC sustainability objectives for 2017fi2020: Status report 11 Reinforce sustainability commitments in the Host City Contract so that bidding for and hosting an Olympic Games edition can act as a catalyst for sustainable development within the host city and region Overall summary, 2017 fi2020 Throughout the period,the sustainability content in all documentation relating to the selection of future hosts has been reviewed and updated as necessary to align with new processes and priorities	11
21	Satellite imagery data reveals that the world's mountain green coverage has remained stable globally, at about 73 percent between 2000 and 2018.	2
22	Enhance global macroeconomic stability, including through policy coordination and policy coherence 	17
23	Our Vision & Approach Governance Internal Engagement on Sustainability Our employees share our vision of having a positive impact on the world, often using their passion and skills to help drive our sustainability agenda forward	8
24	Empowering more women with mobile telephones has been shown to accelerate social and economic development.	5
25	Beyond this, HEINEKEN closely works with experts such as NGOs, universities, governmental organisations and suppliers across the value chain	17
26	Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status 	8
27	Fossil fuel subsidies declined in 2019 to $431.6 billion as a result of lower fuel prices, reversing the upward trend from 2017 to 2018.	12
28	Migrant workers often pay recruitment agencies sums amounting to several months' expected wage. This contravenes the ILO Private Employment Agencies Convention commitment to abolish such fees. 	10
29	Besides various EU policies, the Council Resolution on a strategic framework for European cooperation in education and training takes into consideration the whole spectrum of education and training systems from a lifelong learning perspective, covering all levels, from basic education to tertiary and adult education. Particular focus is thereby put on the acquisition of basic and digital skills. Within this framework, several targets are defined that guide the analysis in this chapter. 	4
