,source,header,text,SDG
51,UN,,"Furthermore, the need to “Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss” is set as Sustainable Development Goal 15 of the 2030 Agenda.",15
1916,paper,The Challenge of City-Level Data-Gathering for Implementing SDG 11 in Africa,"Implementing sustainable development goal 11 in Africa which includes measuring and monitoring social and economic welfare indicators at the city-level requires data of the best quality. In recent years, there have been progress in national statistics and censuses survey yet data gathering in many African countries are not accurate, timely, disaggregated and widely usable. This often diminish the capability of governments to tackle urban development challenges, which are particularly exacerbated by inequality, poverty and uncontrolled development especially in cities. To support knowledge driven decisions and policies there is need to improve data-gathering systems about health, education, and safety, economy and poverty, land, housing and environment, trade and commerce, population and demography. Also, the underlying dynamics, processes, distributions, patterns, trends or disparities inherent in African cities require the breaking down of aggregated data into their component parts or smaller units, which underscores urban data revolution towards achieving SDG 11. In Africa, the process of bringing together diverse data communities to embrace a diverse range of data sources, tools, and innovative technologies, to provide disaggregated data for decision-making, service delivery and citizen engagement is still emerging. Several factors are inhibiting urban data revolution and need to be overturned before we can provide more evidence, more data and more certainty for decision makers towards achieving urban development targets and sustainable cities for Africa. The paper examines the challenge of city-level data-gathering for implementing SDG 11 in Africa. Specifically, it examines the role of cities in implementing SDG 11 in Africa and the need to disaggregate data at city-level; it assesses existing data sources, compilation and dissemination channels as well as the challenges of deploying innovative techniques and strategies including digital and social media platforms and concludes with suggesting sustainable options for evolving cutting-edge strategies for integrating diverse data communities for responsible city-level data-gathering that is reliable, timely, disaggregated and widely usable.",11
1889,UN,,which aims to “develop and implement tools to monitor sustainable development impacts for sustainable tourism that creates jobs and promotes local culture and products”.,8
943,UN,,It was acknowledged that fundamental changes in the way societies produce and consume are indispensable for achieving global sustainable development.,12
8,UN,,"Furthermore, it provided guidelines for natural disaster prevention, preparedness and mitigation.",11
1859,UN,,"At the same session, the Assembly proclaimed, with the adoption of Resolution 55/284, ""2001-2010 as Decade to Roll Back Malaria in Developing Countries, Particularly in Africa"".",3
1243,UN,,"At its conclusion, the Commission adopted the report of the session, which included a non-negotiated Chair’s Summary.",6
1114,UN,,Chapter 8 of Agenda calls on countries to improve or restructure the decision-making process so that consideration of socio-economic and environmental issues is fully integrated and a broader range of public participation assured.,16
349,UN,,"Unsafe conditions, negative interactions with caregivers and a lack of educational opportunities during the early years can lead to irreversible outcomes, affecting children’s potential for the remainder of their lives.",4
436,UN,,"These efforts have been supported by the international community, with financial and technical contributions to regional communities and specific initiatives to foster African development.",10
1397,UN,,"National recycling rate, tons of material recycled.",12
1852,UN,,"In the 2030 Agenda for Sustainable Development SDG target 8.9, aims to “by 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products”.",8
1893,UN,,Mean protected area coverage of marine key biodiversity areas increased globally from 28 per cent in 2000 to 44 per cent in 2020.,14
48,UN,,"The slowdown in progress on poverty reduction since 2015 has been further set back by the COVID-19 pandemic, with the global rate of extreme poverty rising in 2020 for the first time in over 20 years.",1
41,UN,,"Capacity-building is addressed in the context of assessing health and environment linkages, in relation to small island developing States and the acceleration of national and regional implementation of the Programme of Action”.",17
189,UN,,Amount in United States dollars committed to public-private partnerships for infrastructure.,17
837,UN,,The conference represented a crucial milestone in the progress of gender equality and empowerment of women.,5
0,UN,,"As decided at UNGASS, the economic, sectoral and cross-sectoral themes under consideration for CSD-8 were sustainable agriculture and land management, integrating planning and management of land resources and financial resources, trade and investment and economic growth.",2
403,UN,,"The movement puts into action the Global Strategy for Women’s and Children’s Health, which presents a road map on how to enhance financing, strengthen policy and improve service on the ground for the most vulnerable women and children.",3
2216,UN,,"With the adoption of “Future We Want”,Member States decided, through paragraph 84, “to establish a universal intergovernmental high-level political forum, building on the strengths, experiences, resources and inclusive participation modalities of the Commission on Sustainable Development, and subsequently replacing the Commission.",16
2096,UN,,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18.,16
856,UN,,There is growing international recognition of Education for Sustainable Development  as an integral element of quality education and a key enabler for sustainable development.,4
517,UN,,"According to data from 2018 and 2019 on the 25 countries and territories in Africa, Asia, South America, Central Asia and the Middle East for which the Rural Access Index of the World Bank was updated using a spatial method, almost 300 million out of 520 million rural dwellers still lack reliable access to roads.",9
1611,UN,,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030.,11
1685,UN,,"The COVID-19 pandemic has shown that, by threatening biodiversity, humanity threatens its own survival.",15
929,UN,,The sectors most represented were energy .,8
1577,paper,A hybrid approach to identifying and assessing interactions between climate action (SDG13) policies and a range of SDGs in a UK context,"In 2015 the United Nations drafted the Paris Agreement and established the Sustainable Development Goals . The expert survey demonstrates that in addition to the range of mostly synergistic interlinkages identified in the keyword search, there are also important potential trade-offs to consider. Our analysis provides an important new toolkit for the research and policy communities to consider interactions between SDGs, which can be employed across a range of national and international contexts.",13
986,UN,,"In 2019, 81 per cent of primary school teachers were trained, although that proportion was lower in sub-Saharan Africa .",4
3,UN,,"This inter-agency publication, led by DESA aimed at providing decision-makers with a range of options to consider for reducing losses associated with flooding.",11
1240,UN,,It recognizes the importance of mobilizing new and additional financial resources to build partnerships to meet the global waste challenge worldwide.,12
1647,UN,,Improving water use efficiency is a key measure that can contribute to reducing water stress in a country.,6
1691,UN,,"Global access to electricity increased from 83 per cent in 2010 to 90 per cent in 2019, with an increase in average annual electrification of 0.876 percentage points.",7
700,UN,,"The survival of many societies, and of the biological support systems of the planet, is at risk.",13
2206,UN,,"In 2020, wasting  may also rise in some countries and territories where unhealthy foods replaced fresh, nutritious foodstuffs and restrictions on movement constrained opportunities for physical activity for long periods.",2
2170,UN,,This Expert Group Meeting on Integrating Climate Change into National Sustainable Development Strategies was organized by the Division for Sustainable Development of the Department of Economic and Social Affairs.,13
723,UN,,More than half of the wasted children lived in Central and Southern Asia.,2
2034,UN,,"However, the pandemic has severely affected the informal economy, in which the vast majority of the working poor are employed.",1
193,UN,,The Rome Declaration defined seven commitments as main pillars for the achievement of sustainable food security for all whereas its Plan of Action identified the objectives and actions relevant for practical implementation of these seven commitments.,2
1979,paper,SDG 10—A Probe into the Factors Underlying Differences in Inequality: Evidence at the Sub-national Level in India,"This study is an endeavor to examine the causes of rising inequality in India at the sub-national level and thus to arrive at policy implications in order to achieve targets under SDG 10. In a country like India, with striking heterogeneity, examining inequality at the more disaggregated level and understanding its causes is essential for sound policy making. Since the beginning of the economic reform in 1991, there has been a rising income inequality in India has been a cause for concern. Owing to opening up of the economy, the growth rates in states output have increased rapidly especially after 1993. This seems to have widened the income gap. However, thus far only a few studies have attempted to analyze the causes of rising inequalities in Indian states. This study, analyzing data from 18 major Indian states, finds that, in the post reforms period, structural transformation and trade liberalization cause inequality to increase in Indian states. On the other hand, the evidence on infrastructure leading to rise in inequality has to be dealt with caution on account of the presence of outliers. These results are believed to have important policy implications.",10
887,UN,,"Member States also recognize “the severity of global biodiversity loss and degradation of ecosystems” and stress the negative impact that this situation has on food security, nutrition, access to water, health of the rural poor and people worldwide”.",15
1763,UN,,Other targets are concentrated on encouraging companies to adopt sustainable practices and integrate sustainability information into their reporting cycle as well as monitor sustainable development impacts and rationalize inefficient fossil-fuel subsidies.,12
1095,UN,,JPOI reads “Good governance is essential for sustainable development.,8
1782,UN,,"Adopted on the occasion of the Third Intergovernmental Review Meeting , the Manila Declaration reaffirmed signatories' commitment to develop policies to reduce and control waste water, marine litter and pollution from fertilizers.",14
460,UN,,"One billion children globally experience some form of emotional, physical or sexual violence every year; and one child dies as a result of violence every five minutes.",16
391,UN,,"In 2020, almost one third of the 107 countries and territories with data had formulated and operationalized a youth employment strategy, while 44  were in the process of developing a strategy.",8
1623,UN,,The United Nations High-Level Committee on Programmes decided in 2003 the establishment of an Oceans and Coastal Areas Network  to build on SOCA.,14
884,UN,,"The socioeconomic impacts of the COVID-19 pandemic have adversely affected recent progress on gender equality: violence against women and girls has intensified, child marriage is expected to increase after declining in previous years, and increased care work at home is affecting women disproportionately.",5
267,UN,,The relevance of efforts underway to promote scientific research and strengthen the scientific base of activities to address desertification and drought under the UNCCD is also taken into account by paragraph 208.,15
1233,UN,,"Furthermore, the Protocol places a heavier burden on developed nations under its central principle of the “common but differentiated responsibility”.",13
1675,UN,,"There are now 148 parties to the International Treaty on Plant Genetic Resources for Food and Agriculture, and so far, 57 countries and territories have provided information about the measures that they have taken to implement the Nagoya Protocol.",15
1870,paper,Reflection on building sustainable resilience solutions to achieve SDG 2 in Colombia,"Many countries in Latin America confront high levels of inequality, the impacts of climate change and unequal access to quality nutritious foods. Historically, the most vulnerable populations are impacted disproportionally. Climate change exacerbates these inequalities and vulnerability to food insecurity. Worldwide trends highlight the urgent need for context-specific actions that reduce climate risks and impacts, and these are crucial for achieving the Sustainable Development Goals agreed to under Agenda 2030. This chapter highlights a range of solutions that have been introduced to increase community resilience in La Guajira, Colombia, and the implications for the food security and nutrition of the most vulnerable. Our case solutions show that sustainable rural development and resilience building start with a paradigm shift toward more appropriate land use and integrated climate resilience development pathways. This requires a combination of technological advances, new concepts of equitable welfare and local, national and international cooperation. To scale up resilience building, local knowledge, participation and experiences must be a crucial component to rural development and adaptation planning in Colombia and the region. Climate change is forcing action, and solutions exist. However, there is no time to waste in identifying, sharing and implementing community-led solutions.",2
1847,UN,,"As of December 2020, 40 countries and territories had reported on sustainable public procurement policies and action plans or equivalent legal dispositions aimed at encouraging the procurement of environmentally sound, energy-efficient products and promoting more socially responsible purchasing practices and sustainable supply chains.",12
1269,UN,,"The outcome document of the Summit, the Johannesburg Plan of Implementation, devotes Chapter 6 to Health and Sustainable Development, recalling that human beings are entitled to a healthy and productive life, in harmony with nature and further recognizes that the goals of sustainable development can only be achieved in the absence of a high prevalence of debilitating diseases, while obtaining health gains for the whole population requires poverty eradication.",3
2108,UN,,"According to scientists, global emissions should be cut to 45 per cent below 2010 levels by 2030 in order to limit global warming to 1.5°C above pre -industrial levels.",13
1877,UN,,"By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status.",10
333,UN,,"In 2019, 1.74 billion people were reported to have required mass or individual treatment and care for neglected tropical diseases, down from 2.19 billion in 2010 and 12 million fewer than the figure reported for 2018.",3
1921,UN,,"Total official flows for economic infrastructure in developing countries reached $63.6 billion in 2019, an increase of 39.6 per cent in real terms since 2010.",9
2018,UN,,"This is a significant reduction on the figure for 2018, when disaster mortality reported by 105 countries and territories reached a total of 125,000, and is in line with the overall trend in mortality that has been declining since 2005.",1
1292,paper,Exploring the drivers of ethnic and religious exclusion from public services in Nigeria: implications for sustainable development goal 10,"At the macro level, the drivers include ineffective centralized federal State, competition for resources and power among groups, geographic developmental divide and socio-cultural/religious issues. At the meso-level are institutional rules and competition for resources, stereotypes and misconceptions, barriers to access and service provision. At the micro-level are socio-economic status and health-seeking behaviour. The perceived impact of social exclusion included increasing illiteracy, lack of employment, deteriorating health care services, increased social vices, communal clashes and insurgencies and vulnerability to exploitation and humiliation. These drivers must be taken into consideration in the development of interventions for preventing or reducing social exclusion of ethnic and religious minorities from public services.",10
1580,UN,,"In addition to water stress, countries and territories are facing growing challenges linked to water pollution, degraded water-related ecosystems, water scarcity caused by climate change, and a lack of cooperation on transboundary waters.",6
1249,UN,,The Warsaw Climate Change Conference established a pathway for governments to work on a draft text of a new universal climate agreement to be reached in Paris in 2015.,13
1435,UN,,Ending poverty requires universal social protection systems aimed at safeguarding all individuals throughout the life cycle.,1
575,UN,,Chapter 2 of the Johannesburg Plan of Implementation identifies the mutually reinforcing relationship between social and industrial development and the potential of industrialization to promote social objectives.,9
1917,UN,,"Southern Asia is home to nearly half of the global illiterate population, and sub-Saharan Africa is home to one quarter thereof.",4
1664,UN,,"The third commitment of the UN World Summit on Social Development, held in 1995 in Copenhagen, established full employment as a basic priority of social and economic policies.",8
1408,UN,,"In the Registry of commitments, Future We Want welcomes ""the commitments voluntarily entered into at the United Nations Conference on Sustainable Development and throughout 2012 by all stakeholders and their networks to implement concrete policies, plans, programmes, projects and actions to promote sustainable development and poverty eradication"".",17
1381,UN,,CSD-17 negotiated policy recommendations for most of the issues under discussion.,10
22,UN,,"According to survey data for the period from 2006 to 2020, 29.3 per cent of small-scale entrepreneurs benefited from loans or lines of credit before the crisis, with some regional differences.",9
2104,paper,SDG 13 in Sweden and the United Kingdom: A comparative study of how Sweden and the United Kingdom are working towards the Sustainable Development Goals …,"Climate change is one of the hottest topics on the globe as of right now. The deadline of reaching both the Sustainable Development Goals and the Paris Agreement is getting closer, and actions are needed. This thesis focus on how two countries, Sweden and the United Kingdom are working towards achieving goal 13 of the Sustainable Development Goals. Policies, implementations of policies and actions are assessed. The study is a comparative case study that is based on secondary data presented by each country in official reports, the annual Sustainable Development Report as well as the Nationally Determined Contribution report by each country. The International Regime Approach is the theoretical framework used for consideration and comparison between the actions and non-actions by the two countries, where the relationship to the European Union plays an important role. The findings of the study shows that both Sweden and the United Kingdom is passionately working towards achieving the climate goals and has pointed out relevant policies and actions to meet the SDGs. Progress has been made in both countries as emission rates has been radically reduced but despite their devotion, both countries are far from reaching the climate goals as the overall progress of implementation of policies are not on satisfactory levels.",13
961,UN,,"Investing in forests and forestry represent an investment in people and their livelihoods, especially the rural poor, youth and women.",15
